x,y
24,12
28,15
66,3
74,23
63,15
82,16
67,100
2,13
85,9
96,3
52,33
74,32
86,39
95,34
29,31
96,37
52,26
92,25
79,81
2,84
83,76
22,50
3,27
82,79
64,46
94,74
20,67
85,5
34,7
40,4
3,7
43,17
67,63
54,4
35,65
59,61
44,45
91,94
12,1
58,66
6,4
51,60
98,21
51,20
80,33
58,40
68,95
90,88
99,84
90,46
93,72
94,40
32,85
99,85
37,92
83,49
64,67
13,100
35,8
18,48
80,30
53,65
74,29
89,25
86,44
20,99
60,24
15,90
33,41
9,44
11,42
55,63
72,21
80,76
67,95
77,28
45,48
1,61
42,67
73,68
7,100
85,35
59,22
26,82
59,18
16,100
16,22
93,65
8,5
86,11
67,8
14,5
70,51
42,97
69,35
5,65
17,56
30,34
36,20
62,80
35,13
84,7
64,97
19,90
87,90
45,86
53,80
98,64
36,47
48,91
91,58
7,88
95,18
70,78
2,78
41,32
94,78
26,20
100,82
49,25
4,70
21,99
92,52
28,66
40,79
57,78
46,100
25,88
90,98
91,30
29,78
59,18
65,65
17,97
55,64
88,68
62,20
65,31
26,84
49,40
72,77
66,40
30,60
89,61
67,19
97,57
54,84
57,20
32,5
23,27
20,74
81,83
62,60
34,31
27,41
98,48
45,100
55,93
30,8
96,66
32,80
39,97
23,72
81,39
68,51
24,93
6,74
14,49
17,80
72,82
13,37
18,37
75,67
68,44
9,71
80,59
96,44
98,85
50,84
67,37
32,27
54,62
13,42
84,20
66,3
1,61
57,92
45,94
75,66
100,81
36,66
74,33
49,35
6,75
50,100
100,9
41,65
91,22
61,68
12,77
10,34
90,55
56,20
27,24
84,28
86,78
36,28
33,89
5,53
51,24
34,84
88,4
1,76
24,100
17,30
48,12
24,80
63,90
56,4
83,79
6,31
72,69
49,59
50,82
2,50
71,13
24,11
29,56
46,7
25,33
58,22
48,21
21,78
23,58
34,10
69,11
95,85
40,5
23,55
20,53
1,26
7,53
12,19
85,32
20,29
22,78
60,44
8,77
4,97
80,5
30,90
71,61
79,84
96,96
42,99
33,34
86,55
97,24
41,75
58,14
77,47
49,73
89,6
18,77
23,35
11,60
51,94
40,39
64,92
60,8
94,91
84,22
70,87
90,78
14,82
7,100
100,97
12,51
3,54
55,23
35,6
78,42
84,70
3,81
59,66
2,71
39,89
22,61
22,87
92,84
96,70
20,16
92,67
77,2
57,24
65,9
83,17
