transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,customer_id,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,deceased_indicator,owns_car,property_valuation
25/02/2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62,1,F,93,12/10/1953,Health,Mass Customer,N,Yes,10
21/05/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,2,Male,81,16/12/1980,Financial Services,Mass Customer,N,Yes,10
16/10/2017,FALSE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,3,Male,61,20/01/1954,Property,Mass Customer,N,Yes,9
31/08/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,4,Male,33,03/10/1961,IT,Mass Customer,N,No,4
01/10/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,5,Female,56,13/05/1977,,Affluent Customer,N,Yes,9
08/03/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,6,Male,35,16/09/1966,Retail,High Net Worth,N,Yes,9
21/04/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,7,Female,6,23/02/1976,Financial Services,Affluent Customer,N,Yes,4
15/07/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,8,Male,31,30/03/1962,,Mass Customer,N,No,12
10/08/2017,FALSE,Approved,Solex,Standard,medium,large,1071.23,$380.74,9,Female,97,10/03/1973,Argiculture,Affluent Customer,N,Yes,8
30/08/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,10,Female,49,11/10/1988,Financial Services,Mass Customer,N,Yes,4
17/01/2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,11,Male,99,30/04/1954,Property,Mass Customer,N,No,6
05/01/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,12,Male,58,21/07/1994,Manufacturing,Mass Customer,N,No,8
26/02/2017,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,13,Male,38,15/02/1955,Financial Services,High Net Worth,N,Yes,9
10/09/2017,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11",14,Female,85,25/03/1983,Financial Services,Affluent Customer,N,No,4
11/06/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,15,Male,91,13/07/2000,Manufacturing,Mass Customer,N,No,9
10/10/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,16,Male,38,27/02/1977,,Mass Customer,N,Yes,12
03/04/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,17,Male,57,19/03/1962,,Affluent Customer,N,Yes,9
02/06/2017,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",18,Female,79,06/07/1967,,Affluent Customer,N,No,8
06/04/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,19,Female,76,15/04/2001,Manufacturing,High Net Worth,N,No,7
28/01/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,20,Male,72,13/08/1980,Manufacturing,Mass Customer,N,No,10
09/10/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,21,Male,74,20/09/1980,Manufacturing,Affluent Customer,N,Yes,3
