online_order,brand,product_line,product_size,list_price,gender,past_3_years_bike_related_purchases,wealth_segment,owns_car,property_valuation,age
0,1.0,1.0,1.0,0.28603579775518645,0,9.393939393939394,0,1,10.0,8.305084745762713
0,4.0,1.0,1.0,5.705567791638216,1,3.3333333333333335,0,0,4.0,6.9491525423728815
0,1.0,1.0,2.0,5.093726255854887,0,9.797979797979798,1,1,8.0,4.915254237288136
1,6.0,1.0,1.0,5.8627720658247835,0,4.94949494949495,0,1,4.0,2.3728813559322033
0,5.0,1.0,1.0,6.2488819212680236,0,7.979797979797979,1,0,8.0,5.932203389830508
1,3.0,1.0,1.0,8.566743289123139,0,7.979797979797979,0,0,5.0,6.779661016949153
1,3.0,1.0,1.0,8.566743289123139,1,4.343434343434343,2,1,7.0,1.1864406779661016
0,5.0,2.0,1.0,7.343156396372137,0,5.555555555555555,0,1,4.0,4.237288135593221
0,6.0,4.0,2.0,6.496782818616373,1,7.2727272727272725,0,1,7.0,4.406779661016949
0,2.0,1.0,2.0,7.008694564935129,0,1.2121212121212122,0,1,11.0,4.067796610169491
0,6.0,1.0,1.0,6.746943918132594,0,3.3333333333333335,1,0,8.0,4.237288135593221
0,6.0,1.0,1.0,3.0310753753378283,0,3.8383838383838382,0,0,4.0,3.389830508474576
0,5.0,1.0,1.0,3.032950862243083,1,3.8383838383838382,0,1,8.0,3.898305084745762
0,4.0,2.0,2.0,5.906821963394344,1,6.8686868686868685,0,0,10.0,7.288135593220338
0,2.0,2.0,1.0,8.216989025997135,1,4.444444444444445,0,1,10.0,1.0169491525423728
0,1.0,1.0,1.0,0.4248218287440009,0,2.6262626262626263,1,1,8.0,5.932203389830508
1,3.0,1.0,1.0,6.954497802314065,1,6.0606060606060606,2,0,9.0,0.3389830508474576
0,5.0,1.0,1.0,9.451251767285738,0,1.8181818181818181,0,0,8.0,5.423728813559322
1,5.0,1.0,1.0,6.2488819212680236,0,3.8383838383838382,0,1,10.0,3.898305084745762
0,5.0,1.0,1.0,6.69159300972368,0,5.858585858585858,0,1,10.0,6.271186440677966
1,4.0,1.0,1.0,5.7905898646764085,1,2.121212121212121,1,1,7.0,4.576271186440677
1,3.0,1.0,1.0,1.0753753378280904,1,4.646464646464646,2,0,12.0,0.0
0,6.0,1.0,1.0,0.7880892154694008,1,7.979797979797979,0,0,6.0,2.203389830508475
0,3.0,4.0,1.0,5.10257470689506,1,3.7373737373737375,1,0,8.0,2.88135593220339
1,5.0,1.0,1.0,5.611985804006811,0,7.6767676767676765,0,0,12.0,5.762711864406779
