Age,Gender,Item Purchased,Category,Purchase Amount (USD),Season,Review Rating,Subscription Status,Promo Code Used,Previous Purchases,Frequency of Purchases
55,1,1,0,53,3,3.1,1,1,14,1
19,1,2,0,64,3,3.1,1,1,2,1
50,1,3,0,73,0,3.1,1,1,23,0
21,1,4,2,90,0,3.5,1,1,49,0
45,1,1,0,49,0,2.7,1,1,31,4
46,1,5,2,20,1,2.9,1,1,14,0
63,1,6,0,85,2,3.2,1,1,49,3
27,1,7,0,34,3,3.2,1,1,19,0
26,1,8,1,97,1,2.6,1,1,8,4
57,1,9,3,31,0,4.8,1,1,4,3
53,1,10,2,34,2,4.1,1,1,26,1
30,1,7,0,68,3,4.9,1,1,10,1
61,1,8,1,72,3,4.5,1,1,37,1
65,1,11,0,51,0,4.7,1,1,31,0
64,1,8,1,53,3,4.7,1,1,34,0
64,1,12,0,81,3,2.8,1,1,8,2
25,1,13,3,36,0,4.1,1,1,44,1
53,1,11,0,38,3,4.7,1,1,36,3
52,1,2,0,48,1,4.6,1,1,17,0
66,1,14,0,90,1,3.3,1,1,46,1
21,1,14,0,51,3,2.8,1,1,50,3
31,1,14,0,62,3,4.1,1,1,22,3
56,1,14,0,37,1,3.2,1,1,32,4
31,1,14,0,88,3,4.4,1,1,40,0
18,1,15,1,22,2,2.9,1,1,16,0
18,1,16,0,25,1,3.6,1,1,14,4
38,1,17,3,20,0,3.6,1,1,13,4
56,1,7,0,56,1,5.0,1,1,7,3
54,1,9,3,94,2,4.4,1,1,41,3
31,1,11,0,48,2,4.1,1,1,14,0
57,1,17,3,31,3,4.7,1,1,16,2
33,1,11,0,79,3,4.7,1,1,45,2
36,1,15,1,67,1,4.9,1,1,37,4
54,1,14,0,38,1,3.3,1,1,45,3
36,1,18,0,91,0,4.6,1,1,38,3
54,1,1,0,33,1,4.0,1,1,48,1
35,1,18,0,69,3,4.6,1,1,44,1
35,1,3,0,45,1,2.8,1,1,10,0
29,1,11,0,37,3,3.7,1,1,44,3
70,1,14,0,60,1,4.2,1,1,18,2
69,1,9,3,76,3,4.6,1,1,31,3
67,1,19,3,39,0,4.5,1,1,40,4
20,1,8,1,100,0,4.1,1,1,15,4
25,1,19,3,69,2,3.7,1,1,19,1
39,1,20,3,53,1,4.6,1,1,45,0
50,1,21,0,21,2,2.9,1,1,25,4
57,1,6,0,43,1,2.9,1,1,45,3
55,1,17,3,54,3,4.5,1,1,36,0
42,1,6,0,55,1,2.7,1,1,38,2
68,1,16,0,30,0,4.6,1,1,34,1
49,1,1,0,28,0,3.7,1,1,39,1
59,1,12,0,59,3,4.7,1,1,7,3
42,1,18,0,20,1,2.6,1,1,26,0
29,1,12,0,24,3,3.9,1,1,35,0
47,1,8,1,94,1,4.2,1,1,35,1
40,1,15,1,28,3,3.0,1,1,49,4
41,1,22,3,73,1,4.7,1,1,46,0
21,1,8,1,64,1,4.4,1,1,17,1
69,1,16,0,54,1,4.2,1,1,29,2
63,1,23,3,79,0,4.6,1,1,4,0
50,1,2,0,37,1,4.0,1,1,17,0
55,1,19,3,68,3,4.7,1,1,21,3
30,1,5,2,21,0,3.8,1,1,31,1
33,1,13,3,79,3,2.7,1,1,43,0
65,1,24,2,83,2,4.8,1,1,18,1
65,1,22,3,36,0,4.8,1,1,44,3
31,1,1,0,94,3,4.7,1,1,3,3
45,1,8,1,33,3,4.4,1,1,49,2
57,1,9,3,46,1,3.9,1,1,21,3
48,1,23,3,70,1,4.4,1,1,5,0
22,1,23,3,29,2,4.2,1,1,32,3
36,1,11,0,48,1,2.9,1,1,34,4
18,1,11,0,26,3,2.9,1,1,21,3
48,1,14,0,85,0,2.7,1,1,43,1
49,1,25,3,58,0,4.5,1,1,3,2
64,1,19,3,85,1,2.7,1,1,21,4
50,1,20,3,43,1,4.2,1,1,32,2
22,1,11,0,53,1,3.3,1,1,36,1
50,1,12,0,91,0,4.7,1,1,50,1
38,1,15,1,96,3,2.6,1,1,43,3
19,1,4,2,72,1,3.3,1,1,24,3
67,1,10,2,96,1,2.6,1,1,36,3
19,1,14,0,28,0,4.0,1,1,21,3
36,1,11,0,40,1,4.1,1,1,34,0
52,1,8,1,32,0,4.4,1,1,42,3
53,1,13,3,95,3,4.5,1,1,2,1
24,1,16,0,41,0,3.7,1,1,47,1
52,1,10,2,53,2,3.7,1,1,44,1
33,1,18,0,47,2,3.5,1,1,35,2
47,1,15,1,83,2,3.6,1,1,15,3
25,1,20,3,48,1,2.9,1,1,29,2
44,1,19,3,99,3,4.6,1,1,18,3
61,1,15,1,87,3,4.4,1,1,13,3
37,1,2,0,62,2,4.5,1,1,46,0
58,1,12,0,76,0,4.6,1,1,28,0
37,1,5,2,100,2,3.8,1,1,48,2
32,1,25,3,73,0,3.6,1,1,43,3
21,1,10,2,92,3,4.8,1,1,37,4
20,1,3,0,67,0,2.6,1,1,20,4
26,1,16,0,40,1,3.7,1,1,33,3
62,1,13,3,98,2,2.7,1,1,31,1
27,1,8,1,85,0,4.6,1,1,50,1
51,1,21,0,67,3,4.8,1,1,35,3
54,1,24,2,89,3,4.0,1,1,22,1
55,1,13,3,24,0,4.4,1,1,1,2
69,1,22,3,96,2,3.6,1,1,4,4
64,1,15,1,35,1,3.7,1,1,31,2
28,1,5,2,67,3,3.1,1,1,46,1
70,1,21,0,79,0,3.4,1,1,32,1
58,1,18,0,85,0,2.6,1,1,43,1
56,1,22,3,26,1,4.0,1,1,26,1
26,1,23,3,75,1,5.0,1,1,9,4
37,1,25,3,65,0,4.3,1,1,28,1
44,1,20,3,54,3,3.1,1,1,20,3
70,1,8,1,95,1,3.7,1,1,9,0
53,1,12,0,94,0,3.8,1,1,48,3
55,1,10,2,86,0,3.4,1,1,12,4
50,1,4,2,32,1,4.6,1,1,29,1
50,1,2,0,45,2,4.8,1,1,27,1
38,1,8,1,76,2,4.3,1,1,44,4
64,1,20,3,84,1,4.0,1,1,32,4
19,1,7,0,72,3,4.2,1,1,11,1
40,1,22,3,40,0,4.8,1,1,44,1
57,1,2,0,89,2,3.1,1,1,46,0
44,1,2,0,86,0,3.1,1,1,50,4
49,1,7,0,54,3,3.6,1,1,45,3
43,1,7,0,36,0,3.9,1,1,48,3
24,1,2,0,89,3,4.8,1,1,26,0
20,1,19,3,32,0,4.7,1,1,21,1
24,1,11,0,67,1,4.2,1,1,49,1
44,1,19,3,39,2,3.7,1,1,13,1
28,1,12,0,29,1,3.9,1,1,46,0
30,1,22,3,58,2,4.7,1,1,42,0
52,1,2,0,65,3,2.5,1,1,25,4
43,1,20,3,94,2,4.9,1,1,25,2
43,1,4,2,81,2,4.1,1,1,12,3
39,1,1,0,86,3,3.3,1,1,4,3
68,1,5,2,43,0,4.7,1,1,38,0
68,1,12,0,29,3,4.4,1,1,42,0
49,1,8,1,95,2,3.8,1,1,30,4
63,1,6,0,28,2,3.9,1,1,50,0
56,1,25,3,46,2,4.9,1,1,45,0
37,1,15,1,58,2,3.1,1,1,33,1
30,1,8,1,48,2,2.7,1,1,25,3
19,1,10,2,43,2,3.2,1,1,25,2
24,1,17,3,95,2,4.5,1,1,44,3
52,1,12,0,30,2,4.0,1,1,21,1
63,1,10,2,64,1,3.5,1,1,31,1
37,1,25,3,90,2,2.6,1,1,47,4
38,1,14,0,76,1,3.2,1,1,14,2
35,1,24,2,96,2,4.9,1,1,17,3
28,1,13,3,47,2,4.5,1,1,3,4
30,1,6,0,85,1,4.3,1,1,42,4
69,1,16,0,55,3,3.2,1,1,22,4
41,1,11,0,98,2,3.6,1,1,21,3
63,1,21,0,77,0,4.3,1,1,21,3
35,1,7,0,26,2,4.0,1,1,40,4
36,1,20,3,68,2,3.0,1,1,1,1
25,1,6,0,73,2,4.1,1,1,50,2
58,1,25,3,27,2,3.8,1,1,39,3
27,1,25,3,23,1,4.6,1,1,34,2
65,1,22,3,49,2,3.0,1,1,29,1
54,1,13,3,74,1,3.0,1,1,31,1
54,1,12,0,67,1,3.4,1,1,8,0
59,1,9,3,65,0,2.6,1,1,5,1
42,1,9,3,60,3,2.8,1,1,7,2
46,1,5,2,31,2,4.0,1,1,30,2
33,1,25,3,27,2,4.0,1,1,14,3
34,1,10,2,80,1,3.0,1,1,5,1
27,1,15,1,30,1,3.3,1,1,3,3
52,1,6,0,25,2,2.6,1,1,46,1
29,1,7,0,35,1,3.6,1,1,4,0
54,1,17,3,67,1,3.9,1,1,42,1
25,1,20,3,46,2,3.4,1,1,30,4
41,1,10,2,35,3,3.5,1,1,37,4
53,1,8,1,86,2,2.8,1,1,2,4
53,1,22,3,81,0,2.7,1,1,30,3
21,1,16,0,42,2,3.7,1,1,47,2
61,1,12,0,43,2,4.3,1,1,21,3
64,1,24,2,31,2,4.9,1,1,9,1
51,1,4,2,81,2,3.3,1,1,12,1
32,1,14,0,61,1,4.7,1,1,4,0
38,1,25,3,96,1,2.8,1,1,10,4
58,1,12,0,29,0,3.6,1,1,26,0
32,1,5,2,33,0,3.0,1,1,40,1
46,1,18,0,32,1,4.5,1,1,34,1
39,1,22,3,56,1,2.9,1,1,31,4
19,1,10,2,94,0,3.3,1,1,1,1
50,1,16,0,53,0,3.1,1,1,5,1
36,1,1,0,82,2,4.4,1,1,4,0
65,1,8,1,70,2,3.0,1,1,48,3
64,1,20,3,76,2,3.9,1,1,29,3
46,1,10,2,29,1,2.9,1,1,12,1
36,1,23,3,100,2,3.0,1,1,29,4
51,1,22,3,94,0,3.1,1,1,15,3
51,1,15,1,25,2,4.3,1,1,34,2
38,1,24,2,88,1,3.9,1,1,41,1
59,1,19,3,78,2,3.2,1,1,41,2
57,1,17,3,45,3,4.8,1,1,39,1
54,1,20,3,73,1,3.8,1,1,32,0
25,1,11,0,61,1,3.3,1,1,29,2
69,1,1,0,22,2,4.3,1,1,15,4
57,1,20,3,38,0,2.7,1,1,33,4
70,1,19,3,38,2,3.2,1,1,18,0
24,1,5,2,100,2,4.0,1,1,35,1
67,1,6,0,64,3,3.0,1,1,25,0
24,1,18,0,55,1,4.2,1,1,6,1
62,1,25,3,91,1,2.9,1,1,17,1
57,1,12,0,38,0,4.1,1,1,17,2
55,1,4,2,97,3,3.2,1,1,44,3
45,1,15,1,22,2,3.0,1,1,6,1
69,1,12,0,92,2,4.2,1,1,45,1
67,1,9,3,84,2,4.2,1,1,7,4
30,1,9,3,93,2,4.4,1,1,11,3
24,1,15,1,50,1,4.2,1,1,41,3
62,1,19,3,64,0,2.8,1,1,24,1
43,1,7,0,61,0,3.7,1,1,21,0
35,1,13,3,48,3,3.5,1,1,24,4
28,1,18,0,45,0,2.9,1,1,8,3
32,1,23,3,88,0,3.0,1,1,12,1
39,1,5,2,57,0,3.7,1,1,48,1
28,1,20,3,68,1,4.4,1,1,6,3
47,1,25,3,94,0,4.5,1,1,14,1
20,1,14,0,41,0,4.8,1,1,34,4
63,1,21,0,83,1,2.9,1,1,12,3
25,1,15,1,22,0,3.2,1,1,11,4
29,1,10,2,74,0,3.3,1,1,5,2
50,1,3,0,90,3,4.2,1,1,25,1
18,1,21,0,79,0,2.9,1,1,11,4
70,1,4,2,28,0,4.6,1,1,27,3
66,1,19,3,88,2,4.1,1,1,43,4
28,1,1,0,26,0,3.1,1,1,18,3
54,1,17,3,27,3,4.2,1,1,32,1
19,1,2,0,83,2,4.5,1,1,27,3
20,1,25,3,39,1,3.7,1,1,24,0
43,1,13,3,89,3,3.7,1,1,31,3
38,1,8,1,68,3,3.4,1,1,39,1
50,1,11,0,90,1,3.0,1,1,36,1
64,1,12,0,34,2,4.2,1,1,5,4
49,1,14,0,51,1,2.9,1,1,47,1
47,1,2,0,45,3,3.5,1,1,29,1
36,1,16,0,88,3,4.1,1,1,43,1
55,1,8,1,85,1,4.3,1,1,40,3
25,1,17,3,100,3,2.8,1,1,4,2
53,1,23,3,42,0,4.9,1,1,39,0
49,1,4,2,53,1,3.3,1,1,45,1
35,1,13,3,86,0,3.2,1,1,20,1
29,1,2,0,66,0,4.4,1,1,14,0
47,1,23,3,100,3,4.8,1,1,33,0
53,1,9,3,47,2,4.2,1,1,18,4
33,1,12,0,25,2,4.0,1,1,9,0
21,1,9,3,51,3,2.5,1,1,34,4
32,1,7,0,41,1,3.9,1,1,33,1
52,1,24,2,73,3,4.9,1,1,15,1
67,1,13,3,42,3,3.5,1,1,4,1
43,1,19,3,20,0,4.2,1,1,25,4
58,1,17,3,30,0,4.7,1,1,20,3
20,1,9,3,53,1,4.5,1,1,5,3
61,1,25,3,74,0,2.8,1,1,16,3
32,1,3,0,57,2,2.9,1,1,13,4
38,1,20,3,57,3,3.2,1,1,11,3
21,1,3,0,77,3,4.9,1,1,21,4
37,1,14,0,40,1,3.7,1,1,6,4
27,1,7,0,46,1,4.3,1,1,29,2
36,1,14,0,78,2,3.9,1,1,15,4
32,1,22,3,59,0,3.2,1,1,17,1
51,1,17,3,75,1,3.1,1,1,32,0
64,1,2,0,54,0,3.9,1,1,42,4
68,1,10,2,42,0,2.6,1,1,21,2
68,1,1,0,44,3,3.3,1,1,9,1
33,1,3,0,52,2,4.6,1,1,16,4
65,1,13,3,69,1,4.6,1,1,42,1
48,1,17,3,26,1,4.4,1,1,37,1
69,1,8,1,33,0,4.2,1,1,32,3
59,1,17,3,32,0,3.0,1,1,28,1
48,1,22,3,85,3,4.0,1,1,13,0
25,1,12,0,30,2,3.5,1,1,11,1
29,1,6,0,29,3,3.0,1,1,36,1
57,1,2,0,95,0,3.7,1,1,23,4
23,1,5,2,69,1,4.0,1,1,37,2
45,1,4,2,69,2,4.2,1,1,21,1
38,1,23,3,61,0,2.5,1,1,22,1
21,1,12,0,94,1,3.0,1,1,9,2
32,1,2,0,30,2,3.2,1,1,16,4
63,1,12,0,45,1,3.5,1,1,4,3
29,1,9,3,39,1,4.8,1,1,3,1
27,1,17,3,51,1,2.6,1,1,6,4
56,1,19,3,37,0,3.4,1,1,18,1
30,1,18,0,62,3,3.7,1,1,34,1
49,1,8,1,85,2,4.5,1,1,26,2
58,1,18,0,33,3,3.7,1,1,50,0
57,1,11,0,26,2,3.3,1,1,40,2
60,1,10,2,99,0,4.7,1,1,24,3
69,1,9,3,39,0,2.7,1,1,33,4
70,1,12,0,20,0,4.6,1,1,19,3
53,1,13,3,42,3,2.7,1,1,24,3
25,1,4,2,74,0,4.8,1,1,19,0
48,1,10,2,26,1,4.4,1,1,4,1
69,1,18,0,53,3,4.0,1,1,11,3
25,1,5,2,80,1,3.2,1,1,28,1
29,1,20,3,98,0,4.4,1,1,24,0
46,1,12,0,95,0,3.8,1,1,25,3
37,1,2,0,44,1,3.6,1,1,27,3
20,1,4,2,60,1,3.3,1,1,49,0
40,1,11,0,84,3,3.4,1,1,45,1
60,1,2,0,59,2,3.5,1,1,26,4
26,1,15,1,49,1,3.6,1,1,4,4
29,1,25,3,32,3,3.2,1,1,3,3
66,1,9,3,29,2,3.7,1,1,45,1
66,1,11,0,22,0,4.5,1,1,21,1
56,1,14,0,85,3,4.6,1,1,50,1
69,1,3,0,52,3,4.1,1,1,19,2
38,1,14,0,89,0,3.4,1,1,6,4
42,1,11,0,77,0,3.7,1,1,50,3
30,1,14,0,24,1,3.3,1,1,17,3
