x,y
126,166
132,231
217,122
246,139
52,100
124,155
174,28
77,148
240,8
137,62
94,170
233,113
137,13
79,207
146,180
198,102
69,222
153,193
248,98
37,241
233,174
48,196
115,45
212,132
93,108
10,200
32,77
200,151
176,128
157,239
79,25
92,232
110,197
109,125
205,92
48,140
50,69
83,43
166,198
72,67
128,64
75,15
234,238
117,27
55,250
155,155
241,143
83,182
141,144
120,191
132,229
108,80
34,73
190,196
67,22
108,225
94,101
84,218
64,250
127,45
207,30
216,59
152,104
144,217
79,101
10,43
237,150
174,250
170,138
191,218
44,88
3,117
105,176
53,13
41,208
229,71
112,92
105,2
17,165
117,195
212,127
67,107
228,248
92,4
23,51
131,137
79,208
197,17
19,39
91,71
33,35
74,136
219,38
47,35
236,10
1,8
173,81
209,232
120,196
222,41
216,98
68,131
51,135
151,35
75,236
58,180
199,238
46,174
6,16
161,148
186,231
37,110
16,54
123,128
135,96
130,184
164,66
140,37
5,170
250,173
53,211
152,164
50,225
144,116
212,194
178,66
102,2
152,234
1,65
163,32
130,114
211,125
131,81
66,28
123,109
97,195
92,33
139,54
219,217
45,40
179,67
62,137
217,113
200,91
96,205
200,245
64,232
92,125
2,168
3,175
110,147
92,247
46,86
103,78
171,166
13,11
1,46
192,91
156,171
124,149
126,153
198,135
62,65
80,149
144,131
184,223
234,199
188,61
67,115
246,36
177,84
144,211
171,240
115,78
40,222
37,152
186,86
150,25
140,234
141,184
110,224
126,187
8,240
202,109
169,19
165,236
163,29
112,132
94,50
84,157
121,90
47,206
104,228
186,142
154,29
233,75
127,169
16,194
74,32
190,94
211,96
160,69
218,80
158,230
1,232
132,128
162,111
180,185
36,52
119,209
243,187
58,57
77,163
105,10
48,80
60,3
59,72
125,126
7,37
74,24
79,125
181,227
157,231
76,80
39,4
29,32
86,219
178,195
77,73
20,23
130,203
249,97
69,123
65,80
209,118
16,48
126,189
21,229
104,188
182,63
198,15
108,157
25,43
63,60
8,137
249,176
104,248
151,5
203,109
129,179
107,61
6,101
111,50
45,36
38,223
193,132
156,187
219,183
109,144
161,167
63,240
69,153
242,244
25,64
57,239
100,72
122,81
106,229
62,136
186,75
230,148
92,227
13,82
11,76
30,229
137,218
183,27
21,95
75,118
249,96
8,1
115,24
132,10
45,77
130,83
30,76
115,167
145,163
15,150
57,38
49,40
181,137
134,93
88,88
177,191
142,111
90,31
170,168
40,233
127,49
12,223
171,205
13,185
51,146
207,6
158,180
147,71
187,10
61,23
51,34
117,58
186,22
119,76
159,51
59,130
239,67
24,127
200,213
219,135
2,38
194,206
92,185
96,46
220,215
27,228
224,47
173,29
3,35
159,37
182,78
81,243
23,55
202,32
195,119
175,43
55,137
224,125
56,59
180,95
12,8
74,110
193,165
108,216
55,79
173,157
169,88
62,136
38,62
109,77
103,231
4,213
46,35
14,193
25,178
150,25
179,158
97,131
16,250
220,53
9,17
222,228
137,52
194,133
121,7
96,37
25,47
118,89
229,167
178,54
37,20
67,173
126,90
4,141
219,225
43,192
175,20
204,40
86,131
2,167
163,61
212,105
190,221
135,30
247,14
205,149
11,120
81,31
125,170
125,209
247,191
102,50
151,22
52,75
31,86
46,17
34,238
93,135
240,169
6,145
109,151
119,25
220,142
113,198
85,32
184,124
36,62
185,15
118,170
163,74
6,50
211,171
81,50
198,109
127,158
55,53
116,115
61,28
196,189
143,194
36,111
199,12
246,74
193,130
61,223
146,110
231,130
226,71
70,89
8,71
144,80
63,105
93,154
195,39
39,157
53,225
45,55
113,26
135,204
204,170
224,44
97,65
7,171
233,54
238,17
122,51
76,140
233,134
64,177
224,96
26,139
193,120
137,213
27,121
47,71
212,48
181,110
35,110
135,188
98,69
47,222
80,5
97,160
211,208
168,236
200,232
65,112
54,121
60,148
192,185
123,107
6,69
111,229
166,82
88,238
114,235
243,53
248,125
64,11
140,133
209,177
219,100
127,101
73,222
154,75
26,250
208,19
220,125
147,219
238,208
132,181
54,137
87,54
5,193
74,218
140,37
135,141
10,155
145,238
221,66
244,132
210,88
45,215
95,232
168,203
155,186
113,217
184,25
62,104
51,23
170,206
180,133
239,3
16,104
75,141
228,54
21,154
244,224
13,229
9,114
16,241
107,235
4,218
27,76
114,21
111,18
120,115
16,90
38,7
242,115
148,83
88,199
94,9
83,52
22,247
38,239
19,212
205,179
142,197
164,238
25,31
192,157
55,228
181,247
51,193
56,46
56,10
139,71
63,94
150,23
118,66
233,47
219,52
70,115
45,153
29,8
71,155
14,222
201,175
205,115
218,75
136,162
189,71
135,140
79,97
8,199
121,123
31,153
26,186
247,137
225,213
177,222
206,185
105,86
223,58
224,94
174,177
172,40
87,110
207,228
27,149
209,66
90,213
168,223
13,218
50,232
200,123
194,195
62,191
12,158
115,243
130,99
62,223
159,116
191,177
21,55
218,173
17,127
164,241
213,159
88,20
82,216
121,183
206,213
119,217
217,39
131,115
141,76
142,107
132,75
212,232
217,212
15,176
197,218
220,61
243,116
223,225
196,98
155,249
24,160
201,170
107,139
250,170
74,25
160,154
206,12
163,28
92,34
88,158
114,137
86,198
137,211
132,171
54,101
